,Title,Abstract,Ranking
0,A GRIPPING TOOL AND A METHOD FOR REMOVING A HEAT EXCHANGER PLATE FROM A FURNACE WALL,"The present disclosure concerns a gripping tool (1) for removing a heat exchanger plate from a furnace wall, said gripping tool comprising a base (2) having mechanical attachment means (3) for releasably fixing to a tool end of a boom, and a gripping assembly carriage (8) equipped with at least a fork (4) extending, when in use, substantially horizontally from the gripping assembly carriage (8). The gripping assembly carriage (8) further comprises a clamp assembly having a clamp arm (6) equipped with at least a clamp pad (7), wherein said clamp arm (6) extends substantially in the direction of the at least one fork (4) and is movable towards and away from the at least one fork (4) for clamping a heat exchanger plate (11) between the fork (4) and the clamp pad (7). A method for removing a heat exchanger plate with such gripping tool (1) is also concerned.",1.0
1,HEADER FOR A HEAT EXCHANGER,"A heat exchanger (20) having a first core (22) with a first end (40) and a second end (42) and having a first plurality of hot flow channels (48) fluidly isolated from a first plurality of cool flow channels (50). The first plurality of hot flow channels (48) and the first plurality of cool flow channels (50) can be arranged in a first checkerboard pattern. The heat exchanger (20) also having a first header (24) connected to the first end (40) of the first core (22), a first hot flow inlet section (60) connected to the first plurality of hot flow channels (48), and a first curved portion (62) with a first inner hot flow route that is longer than a first outer hot flow route. The first header (24) also having a first cool flow outlet section (70) connected to the first plurality of cool flow channels (50) with the first cool flow outlet section (70) being fluidly isolated from the hot flow inlet section (60).",3.0
2,SUBLIMATOR HAVING A POROUS PLATE WITH INTEGRAL PRIMARY AND SECONDARY HEAT TRANSFER SURFACES,A sublimator (10) includes a porous plate (22) having a first surface (24) comprising a low pressure side (P) and a second surface (26) comprising a high pressure Hp side such that refrigerant is configured to move through the porous plate (22) from the high pressure Hp side to the low pressure side Lp. The second surface defines a primary heat transfer surface. The porous plate further includes a plurality of secondary heat transfer surfaces (30) integrally formed on the primary heat transfer surface to facilitate flow and evenly distribute refrigerant across the high pressure side of the porous plate.,1.0
3,A PLATE HEAT EXCHANGER,"A plate heat exchanger comprises first heat exchanger plates (1), second heat exchanger plates (2), first plate interspaces each formed by a primary pair (I) of one second heat exchanger plate and an adjacent first heat exchanger plate, and second plate interspaces each formed by a secondary pair (II) one first heat exchanger plate and an adjacent second heat exchanger plates. Each first heat exchanger plate comprises a peripheral rim (15) surrounding a first porthole (11) and defini ng an inlet channel (21) for a first fluid through the plate heat exchanger. Each secondary pair encloses an inlet chamber (30) adjacent to the peripheral rim. The inlet chamber is closed to the second plate interspaces, open to the inlet channel and communicates with one of the first plate interspaces via a nozzle member (31), thereby permitting a flow of the first fluid from the inlet channel to the first plate interspace.",5.0
4,FIN ELEMENT FOR A HEAT TRANSFERER,"A fin element for a heat exchanger, in particular for a heating, ventilation, and/or air conditioning system of a motor vehicle, with a plurality of connecting sections and of longitudinal sections, whereby in each case two adjacent longitudinal sections are connected to one another by a connecting section, whereby at least one of the longitudinal sections has gills formed by webs and slots, whereby at least one of the webs has a flared web surface, whereby the web surface is flared out from the at least one longitudinal section, whereby the web surface forms at least two surface sections arranged angled to one another.",3.0
5,FIBONACCI OPTIMIZED RADIAL HEAT EXCHANGER,"A heat transfer device for transferring heat energy to or from a gas or fluid flowing radially across a plurality of posts or tubes includes a plate having a plate surface. A plurality of posts or tubes are disposed on and protrude substantially perpendicular to the plate surface, characterized in that: at least about 50% of the plurality of posts or tubes are disposed according to a phyllotaxis layout wherein each arc of a plurality of phyllotaxis spiral arcs of the phyllotaxis layout terminates at different locations along an arc radius on the plate at a phyllotaxis arc termination radius less than a perimeter radius.",5.0
6,PORTABLE AIR-CONDITIONING DEVICE,"The invention relates to a portable air-conditioning device (1 ) comprising a body (2), a compressor (3) provided in the body (2) which enables the cooling cycle, a condenser (5) comprising a flow channel (4) through which a cooling fluid pressurized by the compressor (3) circulates and enabling heat dissipation to the outer environment by condensing the cooling fluid, a condenser chamber (6) in which the condenser (5) is placed, an evaporator (7) drawing heat from the ambiance by evaporating the cooling fluid and enabling cooling of the ambient air, an evaporator fan (8) delivering the air cooled by the evaporator (7) to the outer ambiance where the user is, and a condenser fan discharging to the outer environment air drawn from the outer environment and heated by passing it via the condenser (5) and heating it by means of the heat dissipated by the condenser (5).",5.0
7,COMPLEX PIN FIN HEAT EXCHANGER,A heat exchanger (20) has a plurality of outer walls (30) and at least one inner wall (32). A first fluid port (22) communicates a first fluid into a chamber (23) on one side of the at least one inner wall (32) and a second port (28) communicates a second fluid into a second chamber (29) on an opposed side of the at least one inner wall (32). A plurality of pins (42) extends from the inner wall in at least one of the chambers. The plurality of pins has a generally frusto-conical outer surface (48;56;68;76).,5.0
8,HEAT EXCHANGER,"A heat exchanger is provided, which comprises a number of heat exchanger plates provided with a pressed pattern of depressions and elevations. The depressions and elevations are adapted to contact depressions and elevations of neighbouring plates when the plates are stacked in a stack to form the heat exchanger such that interplate flow channels are formed between the plates. The heat exchanger further comprises a start plate (120) provided with a pressed pattern comprising depressions and elevations adapted to contact the depressions and elevations of a neighbouring heat exchanger plate such that an interplate flow channel is formed between the start plate (120) and the neighbouring heat exchanger plate. The start plate (120) further comprises fastening ears extending outside the start plate (120) and parallel to a plane of the start plate. The fastening ears are provided in the vicinity of a sealing between the start plate (120) and its neighbouring heat exchanger plate.",5.0
9,INTERNAL HEAT EXCHANGER AND FREEZING CYCLE OF VEHICLE AIR CONDITIONING APPARATUS INCLUDING THE SAME,"An internal heat exchanger according to the invention is to be mounted in a freezing cycle of a vehicle air conditioning apparatus. The internal heat exchanger includes a heat exchanging unit having plate-like members laminated with one another, the heat exchanging unit performing a heat exchange via a cooling medium between a first heat exchanging path and a second heat exchanging path, a cooling medium outlet inlet part through which a first inflow path and a first outflow path pass, and an expansion device connection part through which a second outflow path and a second inflow path pass, in which the expansion device connection part has a first screw path-through part, the internal heat exchanger is detachably fixed to the expansion device by a fixing member including a screw head and a screw shaft, and the screw shaft is passed through the first screw path-through part and inserted into a fourth screw path-through part provided in the expansion device.",3.0
