,air,bodi,chamber,commun,cool,direct,disclos,effici,extend,flow,form,heat exchang,inlet,outlet,plate,plate heat,surfac,unit,wall,water
3,0.0,0.0,0.04764816847281424,0.02382408423640712,0.0,0.0,0.0,0.0,0.0,0.01983470122874926,0.03546667887134175,0.11102384753718564,0.11572630682230944,0.0,0.19599341993362027,0.09529633694562847,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07489342939458839,0.0,0.0,0.0,0.0,0.21144211836931945,0.0,0.16548753956038187,0.0,0.0,0.0
6,0.1045964451245423,0.08223669428244873,0.03989726716725528,0.0,0.23938360300353165,0.0,0.0,0.0,0.0,0.033216402622384206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.13212813452877656,0.08808542301918439,0.0,0.0,0.0,0.0,0.04278779654125487,0.0,0.0,0.022805079838273765,0.0,0.0,0.0,0.0,0.04051119755078042,0.0,0.22021355754796093,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030053707743378285,0.05151000928607707,0.06907927186323672,0.11212637292601546,0.0,0.0,0.2363158096666082,0.030935147096415243,0.0,0.0,0.0,0.0
10,0.0,0.09105933080190207,0.2208879187554075,0.0441775837510815,0.0,0.0,0.0,0.0,0.08583765169925274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04063525521734575,0.0,0.088355167502163,0.04291882584962637
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1324685731623284,0.09215016045902516,0.0,0.0,0.2091538111185955,0.08898330901363524,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.06889748105188115,0.0,0.0,0.0,0.0,0.0,0.0,0.03567474622224166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26773750302006777
23,0.25023003619534323,0.0,0.0,0.0,0.0,0.0,0.031278754524417904,0.0,0.0,0.0,0.026642271019347852,0.037066747090530636,0.06954610307015827,0.03292289096548428,0.04206531698444971,0.0,0.0,0.06584578193096856,0.0,0.0
24,0.0,0.0,0.1552651854372877,0.038816296359321927,0.0,0.0,0.0,0.036675706303716575,0.0,0.0,0.05778543696748274,0.12059322060236545,0.03771029834859269,0.0,0.04561853457156221,0.038816296359321927,0.0714077129270141,0.0,0.0,0.15084119339437077
43,0.0,0.05785315953601457,0.0,0.0,0.0,0.10607889062185234,0.0,0.0,0.0,0.09347038359908476,0.04178389229131474,0.029066459216171715,0.0,0.0,0.19791698757232476,0.0,0.0,0.0,0.11227022110351711,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180241186900312,0.0,0.2071446567783707,0.04803255822537725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.17729753009446572,0.0,0.0,0.07746851139578295,0.0,0.0,0.0,0.0,0.09180371031543863,0.0,0.0,0.1562756032517111,0.0,0.0,0.0,0.0,0.0861228837295451
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03173363690389118,0.0,0.0,0.01691342349107106,0.0,0.0,0.0,0.0,0.0,0.09013558099763991,0.26131477258206826,0.0
51,0.0,0.25978563696036916,0.0,0.0,0.0,0.07938999468442189,0.0,0.0,0.0,0.0,0.06254256558408205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0628149231266718,0.0,0.11720123514586149,0.14659840817245112,0.13879838538490763,0.0,0.0,0.13879838538490763,0.0,0.0,0.0
