,exchang,heat,heat exchang
3,0.16795966301223728,0.1410672789943979,0.17202469396766518
5,0.16795966301223728,0.1410672789943979,0.17202469396766518
6,0.0,0.0,0.0
7,0.16795966301223728,0.1410672789943979,0.17202469396766518
8,0.16795966301223728,0.1410672789943979,0.17202469396766518
10,0.0,0.2787524366471735,0.0
15,0.12630652665196698,0.21216663232681301,0.12936345074614916
16,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
43,0.16795966301223728,0.1410672789943979,0.17202469396766518
44,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.16795966301223728,0.1410672789943979,0.17202469396766518
51,0.0,0.2787524366471735,0.0
52,0.16795966301223728,0.1410672789943979,0.17202469396766518
55,0.0,0.0,0.0
56,0.16795966301223728,0.1410672789943979,0.17202469396766518
57,,,
58,,,
1,0.30538120547679504,0.25648596180799615,0.31277217085030035
4,0.0,0.50682261208577,0.0
9,0.30538120547679504,0.25648596180799615,0.31277217085030035
17,0.30538120547679504,0.25648596180799615,0.31277217085030035
19,0.30538120547679504,0.25648596180799615,0.31277217085030035
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
45,0.0,0.0,0.0
54,0.0,0.0,0.0
64,,,
0,-0.12919974077864405,-0.10851329153415222,-0.13232668766743474
2,-0.0,-0.21442495126705652,-0.0
18,-0.0,-0.0,-0.0
20,-0.0,-0.21442495126705652,-0.0
21,-0.21442495126705652,-0.0,-0.0
22,-0.0,-0.0,-0.0
25,-0.0,-0.0,-0.0
26,-0.12919974077864405,-0.10851329153415222,-0.13232668766743474
27,-0.0,-0.0,-0.0
28,-0.0,-0.0,-0.0
29,-0.0,-0.0,-0.0
30,-0.0,-0.0,-0.0
31,-0.0,-0.0,-0.0
32,-0.0,-0.21442495126705652,-0.0
33,-0.12919974077864405,-0.10851329153415222,-0.13232668766743474
34,-0.12919974077864405,-0.10851329153415222,-0.13232668766743474
35,-0.0,-0.0,-0.0
39,-0.0,-0.0,-0.0
40,-0.12919974077864405,-0.10851329153415222,-0.13232668766743474
41,-0.12919974077864405,-0.10851329153415222,-0.13232668766743474
42,-0.0,-0.0,-0.0
46,-0.0,-0.21442495126705652,-0.0
53,-0.0,-0.0,-0.0
59,,,
62,,,
63,,,
