Title,Abstract,Publication(s),Applicant(s),International filing date,Priority(s),Inventor(s),IPC,CPC,Simple family member(s),Claims,Ranking,Drawing
A GRIPPING TOOL AND A METHOD FOR REMOVING A HEAT EXCHANGER PLATE FROM A FURNACE WALL,"The present disclosure concerns a gripping tool (1) for removing a heat exchanger plate from a furnace wall, said gripping tool comprising a base (2) having mechanical attachment means (3) for releasably fixing to a tool end of a boom, and a gripping assembly carriage (8) equipped with at least a fork (4) extending, when in use, substantially horizontally from the gripping assembly carriage (8). The gripping assembly carriage (8) further comprises a clamp assembly having a clamp arm (6) equipped with at least a clamp pad (7), wherein said clamp arm (6) extends substantially in the direction of the at least one fork (4) and is movable towards and away from the at least one fork (4) for clamping a heat exchanger plate (11) between the fork (4) and the clamp pad (7). A method for removing a heat exchanger plate with such gripping tool (1) is also concerned.","WO2017220848A1 2017-12-28
","OUTOTEC (FINLAND) OY
",23/06/2016,"WO2017220848A1 2016-06-23
","HILDEBRANDT HAROLD
COLEMAN RONALD
","F27D1/16
F27D25/00","F27D1/1694
F27D25/001
F27D2001/0046
","WO2017220848A1
",,1,
FLUE GAS PURIFICATION DEVICE WITH RETAINER FOR COLLECTING LOOSE PARTS,"To increase the service time of a flue gas purification device, comprising a heat exchanger and a subsequent raw gas duct, extending from said heat exchanger downwardly to a raw gas entrance at a lower part of a gas scrubber, the invention provides at least one retainer, arranged within the raw gas duct at or beneath a first outlet port of the heat exchanger and at a distance to the raw gas entrance of the gas scrubber, which retainer extends at least partially transverse to said raw gas flow direction and has a plurality of openings each of a size, allowing the raw gas to flow through the retainer and preventing solid particles of a size larger than one opening, such as desintegrated plates, hinges, bolts, screws etc., to pass said retainer.","WO2018010806A1 2018-01-18
","DOOSAN LENTJES GMBH
",14/07/2016,"WO2018010806A1 2016-07-14
","WINKLER KLAUS
NARIN OGUZHAN
BROSCH BJ…RN
","B01D51/00
B01D45/04
B01D53/50
B01J8/00","B01D53/505
B01D51/00
B01D2252/1035
","WO2018010806A1
",,1,
HEAT EXCHANGER FOR AN EGR SYSTEM,"The invention relates to a heat exchanger for an EGR (Exhaust Gas Recirculation) system, comprising a tube bundle of flat tubes, configured by combining two plates incorporating specific protrusions distributed according to the direction of the tube. These protrusions in both plates are in contact with one another or attached such that they establish internal channels. The present invention is characterized by the presence of either transverse projections or of transverse deviations generating disturbances in the flow through side walls of the internal channels, increasing the turbulence of the flow through said channels and thereby increasing heat exchange by convection.","EP3270085A1 2018-01-17
","BORGWARNER EMISSIONS SYSTEMS SPAIN SLU
",12/07/2016,"EP3270085A1 2016-07-12
","VARGAS ALEJANDRO
JULIANA RAFAEL
HERMIDA DOMêNGUEZ XOAN XOSƒ
OTERO VçZQUEZ ANA
PRIETO DOMêNGUEZ RODOLFO
","F28F1/02
F28D7/16
F28D21/00
F28F1/42","F02M26/28
F02M26/32
F28D7/1684
F28D21/0003
F28F1/02
F28F1/022
F28F1/025
F28F1/422
F28F3/044
F28F3/046
F28F3/08
F28F9/001
F28F2001/027
F28F2225/04
F28F2240/00
","EP3270085A1
US2018017024A1
CN107605621A
",,1,
