,Title,Abstract,Ranking
0,A GRIPPING TOOL AND A METHOD FOR REMOVING A HEAT EXCHANGER PLATE FROM A FURNACE WALL,"The present disclosure concerns a gripping tool (1) for removing a heat exchanger plate from a furnace wall, said gripping tool comprising a base (2) having mechanical attachment means (3) for releasably fixing to a tool end of a boom, and a gripping assembly carriage (8) equipped with at least a fork (4) extending, when in use, substantially horizontally from the gripping assembly carriage (8). The gripping assembly carriage (8) further comprises a clamp assembly having a clamp arm (6) equipped with at least a clamp pad (7), wherein said clamp arm (6) extends substantially in the direction of the at least one fork (4) and is movable towards and away from the at least one fork (4) for clamping a heat exchanger plate (11) between the fork (4) and the clamp pad (7). A method for removing a heat exchanger plate with such gripping tool (1) is also concerned.",1
1,FLUE GAS PURIFICATION DEVICE WITH RETAINER FOR COLLECTING LOOSE PARTS,"To increase the service time of a flue gas purification device, comprising a heat exchanger and a subsequent raw gas duct, extending from said heat exchanger downwardly to a raw gas entrance at a lower part of a gas scrubber, the invention provides at least one retainer, arranged within the raw gas duct at or beneath a first outlet port of the heat exchanger and at a distance to the raw gas entrance of the gas scrubber, which retainer extends at least partially transverse to said raw gas flow direction and has a plurality of openings each of a size, allowing the raw gas to flow through the retainer and preventing solid particles of a size larger than one opening, such as desintegrated plates, hinges, bolts, screws etc., to pass said retainer.",1
2,HEAT EXCHANGER FOR AN EGR SYSTEM,"The invention relates to a heat exchanger for an EGR (Exhaust Gas Recirculation) system, comprising a tube bundle of flat tubes, configured by combining two plates incorporating specific protrusions distributed according to the direction of the tube. These protrusions in both plates are in contact with one another or attached such that they establish internal channels. The present invention is characterized by the presence of either transverse projections or of transverse deviations generating disturbances in the flow through side walls of the internal channels, increasing the turbulence of the flow through said channels and thereby increasing heat exchange by convection.",1
3,"ENTHALPY EXCHANGER ELEMENT, ENTHALPY EXCHANGER COMPRISING SUCH ELEMENTS AND METHOD FOR THEIR PRODUCTION","The present invention provides enthalpy exchanger elements (E, E') and enthalpy exchangers comprising such elements. Furthermore, the invention discloses a method for producing such enthalpy exchanger elements and enthalpy exchangers, comprising the steps of a) providing an air-permeable sheet element (1); b) laminating at least one side (1 a, 1 b) of the sheet element (1) with a thin polymer film (3, 4) with water vapor transmission characteristics; and c) forming the laminated sheet element (1) into a desired shape exhibiting a three-dimensional corrugation pattern (5, 5, ...).",1
4,INDUCED DRAFT AIR-COOLED CONDENSER,The present invention relates to an air-cooled condenser street for condensing exhaust steam from a turbine. The air-cooled condenser street comprises one or more rows of V-shaped heat exchangers. Each row comprises a main steam manifold to introduce exhaust steam into tube bundles that are placed in an inclined position such that condensate formed in the bundles flows back by gravitation to the main steam manifold. Top steam manifolds are connected to the upper end of respectively each of the tube bundles of the air-cooled condenser street. The series of parallel top steam manifolds are forming a support assembly for supporting one or more fan decks. The fan decks support a plurality of fans to induce an air draft in the V-shaped heat exchangers.,1
5,PLATE HEAT EXCHANGER FOR SOLAR HEATING,"Plate heat exchanger (1, 1') for solar heating comprising a plurality of channels (4) extending between an inlet (5) and an outlet (6) for conducting a heat transferring fluid. The plurality of channels (4) are defined between a first plate (2) and a second plate (3), the first and second plates (2, 3) being formed by stainless steel. Each of the plurality of channels (4) has a single-curved extension between the inlet (5) and the outlet (6) as seen in a plane A corresponding to the major surface extension of the first and second plates (2, 3). Each of the plurality of channels (4) has along at least a portion of its longitudinal extension a triangular or a chamfered triangular cross-section or a parallelogram or a chamfered parallelogram cross-section. The side walls (10) of two adjacent channels (4) define an angle a corresponding to, or smaller than, 100 degrees and more preferred smaller than 90 degrees.",3
6,"DISPOSITIF DE REFROIDISSEMENT DÍUNE UNITE DE STOCKAGE DÍENERGIE, ENSEMBLE ASSOCIE.","The invention relates to a device (1) for cooling an electrical energy-reserve unit, the device comprising at least one tube heat exchanger (3) and one plate heat exchanger (4), the tube heat exchanger (3) and the plate heat exchanger (4) being in fluid communication so as to form a circuit for circulating a cooling fluid.",1
7,REFRIGERATION SYSTEM WITH CENTRALISED CONDENSATION HEAT REMOVAL,"The invention relates to commercial refrigeration equipment, namely commercial refrigerating facilities with a built-in refrigerating unit equipped with a liquid cooling condenser. A proposed refrigeration system is made with centralised condensation heat removal. For this purpose, the known system comprising at least one refrigerating device (1) with a refrigerant circulation loop and a condenser unit with a compressor and a condenser of the refrigerating device uses, according to the invention, a liquid condenser located in the refrigerating device and coupled to at least one closed liquid condensation heat removal loop comprising a means of heat-transfer agent circulation in a liquid loop and a means of heat-transfer agent refrigeration (3) coupled by a heat-transfer agent circulation pipeline (12). This liquid condenser is designed as a plate heat exchanger capable to pass the refrigerant and the heat-transfer agent simultaneously. The claimed invention allows to reduce heat emissions into a room, where refrigerating devices of the system are located, the level of noise from refrigerating devices, system operating costs, in particular, costs associated with installation, materials for the system, system maintenance, etc., to simplify system maintenance and operational flexibility for the purposes of refrigeration, and to reduce negative impact of the system operation on the environment.",1
8,Dispositif de distribution d'_nergie thermique pour site urbain ou industriel.,"The thermal energy exchange network (100) comprises at least one main circuit (110) and at least one secondary circuit (120) for distributing heat energy through a heat-transfer fluid. The said secondary circuit (150) is broken down into at least two complementary sub-circuits (150a and 150b) which are interconnected by a heat exchanger (170) which provides thermal coupling without hydraulic connection. The sub-circuits (150a and 150b), the number of which is dependent on the configuration of the installation terrain, are coupled in series, respectively via heat exchangers (170) to avoid overpressure in the network in the event of the installation terrain being extremely uneven.",1
9,HEADER FOR A HEAT EXCHANGER,"A heat exchanger (20) having a first core (22) with a first end (40) and a second end (42) and having a first plurality of hot flow channels (48) fluidly isolated from a first plurality of cool flow channels (50). The first plurality of hot flow channels (48) and the first plurality of cool flow channels (50) can be arranged in a first checkerboard pattern. The heat exchanger (20) also having a first header (24) connected to the first end (40) of the first core (22), a first hot flow inlet section (60) connected to the first plurality of hot flow channels (48), and a first curved portion (62) with a first inner hot flow route that is longer than a first outer hot flow route. The first header (24) also having a first cool flow outlet section (70) connected to the first plurality of cool flow channels (50) with the first cool flow outlet section (70) being fluidly isolated from the hot flow inlet section (60).",3
