,exchang,heat,heat exchang
0,0.5932466448535147,0.5261916037454613,0.6092461034079965
11,0.3104291739732429,0.27534116934229425,0.31880123767756147
17,0.3104291739732429,0.27534116934229425,0.31880123767756147
25,0.0,0.5232716892143477,0.0
30,0.0,0.5232716892143477,0.0
31,0.0,0.5232716892143477,0.0
34,0.3104291739732429,0.27534116934229425,0.31880123767756147
46,0.3104291739732429,0.27534116934229425,0.31880123767756147
67,0.3104291739732429,0.27534116934229425,0.31880123767756147
93,0.3104291739732429,0.27534116934229425,0.31880123767756147
142,0.3104291739732429,0.27534116934229425,0.31880123767756147
157,0.0,0.5232716892143477,0.0
158,0.3104291739732429,0.27534116934229425,0.31880123767756147
164,0.3104291739732429,0.27534116934229425,0.31880123767756147
170,0.3104291739732429,0.27534116934229425,0.31880123767756147
171,0.0,0.0,0.0
177,0.3104291739732429,0.27534116934229425,0.31880123767756147
178,0.3104291739732429,0.27534116934229425,0.31880123767756147
5,0.17022684514881847,0.30197199571690564,0.17481774739402411
9,0.2303184193995028,0.20428538370557314,0.23652995053496498
10,0.0,0.38823383393322575,0.0
20,0.2303184193995028,0.20428538370557314,0.23652995053496498
26,0.0,0.38823383393322575,0.0
28,0.2303184193995028,0.20428538370557314,0.23652995053496498
48,0.2303184193995028,0.20428538370557314,0.23652995053496498
53,0.2303184193995028,0.20428538370557314,0.23652995053496498
55,0.2303184193995028,0.20428538370557314,0.23652995053496498
59,0.0,0.0,0.0
69,0.2303184193995028,0.20428538370557314,0.23652995053496498
90,0.2303184193995028,0.20428538370557314,0.23652995053496498
104,0.0,0.0,0.0
116,0.2303184193995028,0.20428538370557314,0.23652995053496498
117,0.2303184193995028,0.20428538370557314,0.23652995053496498
119,0.2303184193995028,0.20428538370557314,0.23652995053496498
120,0.0,0.0,0.0
131,0.0,0.38823383393322575,0.0
132,0.0,0.0,0.0
134,0.2303184193995028,0.20428538370557314,0.23652995053496498
145,0.2303184193995028,0.20428538370557314,0.23652995053496498
154,0.2303184193995028,0.20428538370557314,0.23652995053496498
156,0.2303184193995028,0.20428538370557314,0.23652995053496498
162,0.2303184193995028,0.20428538370557314,0.23652995053496498
163,0.2303184193995028,0.20428538370557314,0.23652995053496498
165,0.0,0.38823383393322575,0.0
166,0.0,0.0,0.0
168,0.2303184193995028,0.20428538370557314,0.23652995053496498
169,0.2303184193995028,0.20428538370557314,0.23652995053496498
175,0.2303184193995028,0.20428538370557314,0.23652995053496498
184,,,
0,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
1,-0.0,-0.0,-0.0
2,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
3,-0.08849447685242647,-0.0,-0.0
4,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0
7,-0.0,-0.08849447685242647,-0.0
8,-0.0,-0.0,-0.0
12,-0.0,-0.08849447685242647,-0.0
13,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
14,-0.0,-0.0,-0.0
15,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
16,-0.0,-0.0,-0.0
18,-0.0,-0.0,-0.0
19,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
21,-0.0,-0.0,-0.0
22,-0.0,-0.0,-0.0
